namespace,cbb_items
CDVAL#5002650001,Unused limit amount
CDVAL#5002650002,Import open amount
CDVAL#5002650003,Easy transfer payment amount
CDVAL#5002650004,Easy transfer request receiving amount
CDVAL#5002650005,Easy transfer payment amount
CDVAL#5002660001,Limit used rate
CDVAL#5002680000,Count
CDVAL#5002680001,Loan term extension count
CDVAL#5002680002,Loan interest grace day
CDVAL#5002680003,Loan increase amount count
CDVAL#5002680004,Loan withdrawal count
CDVAL#5002690000,Test
CDVAL#5002690001,Test2
CDVAL#500281,Deposit
CDVAL#500282,Withdrawal
CDVAL#50029B,Black
CDVAL#50029R,Red
CDVAL#5003000,None
CDVAL#5003001,Term History Management Consecutively
CDVAL#5003002,Term History Management Inconsecutively
CDVAL#500310,Without Passbook
CDVAL#500311,With Passbook
CDVAL#5003201,Cash
CDVAL#5003202,Transfer
CDVAL#500331,Charge
CDVAL#500332,Exemption
CDVAL#500333,Charge Later
CDVAL#500341,Year
CDVAL#500342,Month
CDVAL#500343,Day
CDVAL#5003501,normal termination
CDVAL#5003502,maturity termination
CDVAL#5003503,early termination
CDVAL#5003504,inheritance
CDVAL#5003505,set-off termination
CDVAL#5003506,shorten maturity
CDVAL#5003507,partial termination
CDVAL#5003508, termination after maturity
CDVAL#5003509,re-deposit termination
CDVAL#5003510,requested termination
CDVAL#5003601,Voluntary
CDVAL#5003602,Dishonor
CDVAL#5003603,Special Death
CDVAL#5003604,Special Migration
CDVAL#5003605,Special Retirement
CDVAL#5003606,Special Cessation Of Business
CDVAL#5003607,Special Etc
CDVAL#500371,Cash
CDVAL#500372,Transfer
CDVAL#500373,Partial Transfer
CDVAL#500374,other currency transfer
CDVAL#5003801,Advance
CDVAL#5003802,Arrear
CDVAL#5003901,Regular Repayment
CDVAL#5003902,Early Repayment
CDVAL#5003903,Cycle Repayment
CDVAL#5003905,Balance Repayment
CDVAL#5004001,Settlement Capitalization
CDVAL#5004002,Provisional Settlement Of Account
CDVAL#5004004,Transfer
CDVAL#5004005,Pay The Interest
CDVAL#5004006,Partial Withdrawal
CDVAL#5004007,Dividend
CDVAL#5004008,Depositor Information Extraction
CDVAL#5004011,Termination
CDVAL#5004012,PURCHASE
CDVAL#5004013,RETURN
CDVAL#5004014,Retraction
CDVAL#50041101,Deposit Normal Interest Rate 
CDVAL#50041102,Early Termination Interest Rate
CDVAL#50041103,After Maturity Interest Rate 
CDVAL#50041104,Set-Off Interest Rate
CDVAL#50041105,Special Early Termination Interest Rate
CDVAL#50041106,Partial Termination Interest Rate
CDVAL#50041107,Breach Of Contract Rate
CDVAL#50041108,Deposit Delay Interest Rate
CDVAL#50041109,Put Maturity Date Forward Interest Rate
CDVAL#50041110,Holiday Interest Rate
CDVAL#50041111,Special Interest Rate
CDVAL#50041201,Loan Normal Interest Rate
CDVAL#50041202,Interest Overdue Penalty Rate
CDVAL#50041203,Repayments Principal Overdue Penalty Interest
CDVAL#50041204,Loan Balance Overdue Penalty Interest
CDVAL#50041205,Early Redemption Fee
CDVAL#50041206,Over Limit Overdue Penalty Interest
CDVAL#50041290,Internal Interest Rate
CDVAL#50041291,Addition Rate Internal Rate Coupled Method
CDVAL#50041292,Addition Rate Product Rate Coupled Method
CDVAL#50041293,Deposit Rate Coupled Method
CDVAL#50041301,Final Fee
CDVAL#50041302,Individual Fee
CDVAL#50041401,Foreign exchange Interest Rate
CDVAL#5004201,Full Query
CDVAL#5004202,Arrangement Query
CDVAL#5004203,Mandatory Query
CDVAL#500431,Unpaid Or Partial Paid
CDVAL#500432,Full Paid
CDVAL#500433,Canceled
CDVAL#500434,Invalid
CDVAL#5004401,Simplecity Change
CDVAL#5004402,Lost Change
CDVAL#5004501,All Approval 
CDVAL#5004502,Individual Approval 
CDVAL#51010BS,Balance Sheet
CDVAL#51010IS,Income Statement
CDVAL#5101101,Bank
CDVAL#5101102,Trust
CDVAL#5101200,None
CDVAL#5101201,Asset
CDVAL#5101202,Liability
CDVAL#5101203,Capital
CDVAL#5101204,Foot Note
CDVAL#5101205,Benefit
CDVAL#5101206,Cost
CDVAL#510131,Slip With Printing
CDVAL#510132,Slip Without Printing
CDVAL#510133,Without Slip
CDVAL#5101401,Balance Sheet
CDVAL#5101402,Income Statment
CDVAL#5101403,Business Report
CDVAL#5101404,Average Balance Report
CDVAL#510150,Na
CDVAL#510151,Debit
CDVAL#510152,Credit
CDVAL#510153,Foot Note
CDVAL#510154,Mixed
CDVAL#510161,1Level
CDVAL#510162,2Level
CDVAL#510163,3Level
CDVAL#510164,4Level
CDVAL#510165,5Level
CDVAL#510166,6Level
CDVAL#510167,7Level
CDVAL#7,Recovery Transaction
CDVAL#8000000,No Records
CDVAL#8000001,Day
CDVAL#8000002,Main
CDVAL#8000003,Month
CDVAL#8000004,Years
CDVAL#8000005,quarterly
CDVAL#800010,No Records
CDVAL#800011,Calendar
CDVAL#800012,Registration Day
CDVAL#8000201,Deposit Withdrawals Plus Count Minus Count
CDVAL#8000202,Volume Calculation
CDVAL#8000203,Covered With A Large Value
CDVAL#8000204,Covered With A Small Value
CDVAL#8000205,Individual process 
CDVAL#8000209,No Record
CDVAL#800120,No Records
CDVAL#80012A,After Change
CDVAL#80012B,Before Change
CDVAL#8001401,Balance Amount
CDVAL#8001402,Accumulated Amount
CDVAL#8001403,Transaction Amount
CDVAL#8001451,Contract Attribute Value
CDVAL#8001452,Condition Value
CDVAL#8001501,Deposit
CDVAL#8001502,Loan
CDVAL#8001503,Agency
CDVAL#8001504,Card
CDVAL#8001505,Service
CDVAL#8001506,Invest
CDVAL#8001507,Asset
CDVAL#8001509,Internal Mgmt
CDVAL#8001510,Agency
CDVAL#8001531,Product Service
CDVAL#8001701,Year
CDVAL#8001702,Month
CDVAL#8001703,Day
CDVAL#8001704,Date
CDVAL#8001705,Hour
CDVAL#8001706,Minute
CDVAL#8001707,Second
CDVAL#8001708,Hhmmss
CDVAL#8001709,Thousand
CDVAL#8001710,Million
CDVAL#8001711,Percent
CDVAL#8001712,Permillage
CDVAL#8001713,Square Meter
CDVAL#8001714,Unit
CDVAL#8001801,Round-Off
CDVAL#8001802,Round-Up
CDVAL#8001803,Round-Down
CDVAL#8001901,Fixed
CDVAL#8001902,Variable
CDVAL#8002001,Interest Rate
CDVAL#8002002,Reference Base Interest
CDVAL#8002003,Reference Other Interest
CDVAL#8002101,Immediately Apply
CDVAL#8002102,Monthly Apply
CDVAL#8002103,Daily Apply
CDVAL#8002104,After Fixed Term Variously Apply
CDVAL#8002201,Corresponding Day
CDVAL#8002202,First Day Of Month
CDVAL#8002203,Last Day Of Month
CDVAL#8002301001,KOREA BANK BASE INT 1DAY
CDVAL#8002302001,CD INT 91DAY
CDVAL#8002302002,CD INT 91DAY BEFORE 3 WORKING DAY AVG
CDVAL#8002303001,BANK BONDS AAA 6MONTH
CDVAL#8002303002,BANK BOND AAA 9MONTH
CDVAL#8002303003,BANK BOND AAA 1YEAR
CDVAL#8002303004,BANK BOND AAA 2YEAR
CDVAL#8002303005,BANK BOND AAA 3YEAR
CDVAL#8002303006,BANK BOND AAA 5YEAR
CDVAL#8002303007,BANK BOND AAA 10YEAR
CDVAL#8002303008,BANK BOND AAA 20YEAR
CDVAL#8002304001,BANK BOND AA 6MONTH
CDVAL#8002304002,BANK BOND AA 9MONTH
CDVAL#8002304003,BANK BOND AA 1YEAR
CDVAL#8002304004,BANK BOND AA 2YEAR
CDVAL#8002304005,BANK BOND AA 3YEAR
CDVAL#8002304006,BANK BOND AA 5YEAR
CDVAL#8002304007,BANK BOND AA 10YEAR
CDVAL#8002304008,BANK BOND AA 20YEAR
CDVAL#8002305001,COFIX SHORT TERM
CDVAL#8002306001,COFIX BASED ON NEW PAYMENT 6MONTH
CDVAL#8002306002,COFIX BASED ON NEW PAYMENT 12MONTH
CDVAL#8002307001,COFIX BASED ON BAL 6MONTH
CDVAL#8002307002,COFIX BASED ON BAL 12MONTH
CDVAL#8002308001,KORIBOR 1
CDVAL#8002308002,KORIBOR 2
CDVAL#8002308003,KORIBOR 3
CDVAL#8002391001,BASE INT BY PERIOD 1MONTH
CDVAL#8002391002,BASE INT BY PERIOD 2MONTH
CDVAL#8002391003,BASE INT BY PERIOD 3MONTH
CDVAL#8002391004,BASE INT BY PERIOD 4MONTH
CDVAL#8002391005,BASE INT BY PERIOD 5MONTH
CDVAL#8002391006,BASE INT BY PERIOD 6MONTH
CDVAL#8002391007,BASE INT BY PERIOD 7MONTH
CDVAL#8002391008,BASE INT BY PERIOD 8MONTH
CDVAL#8002391009,BASE INT BY PERIOD 9MONTH
CDVAL#8002391010,BASE INT BY PERIOD 10MONTH
CDVAL#8002391011,BASE INT BY PERIOD 11MONTH
CDVAL#8002391012,BASE INT BY PERIOD 12MONTH
CDVAL#8002391013,BASE INT BY PERIOD 13MONTH
CDVAL#8002391014,BASE INT BY PERIOD 14MONTH
CDVAL#8002391015,BASE INT BY PERIOD 15MONTH
CDVAL#8002391016,BASE INT BY PERIOD 16MONTH
CDVAL#8002391017,BASE INT BY PERIOD 17MONTH
CDVAL#8002391018,BASE INT BY PERIOD 18MONTH
CDVAL#8002391019,BASE INT BY PERIOD 19MONTH
CDVAL#8002391020,BASE INT BY PERIOD 20MONTH
CDVAL#8002391021,BASE INT BY PERIOD 21MONTH
CDVAL#8002391022,BASE INT BY PERIOD 22MONTH
CDVAL#8002391023,BASE INT BY PERIOD 23MONTH
CDVAL#8002391024,BASE INT BY PERIOD 24MONTH
CDVAL#8002391025,BASE INT BY PERIOD 25MONTH
CDVAL#8002391026,BASE INT BY PERIOD 26MONTH
CDVAL#8002391027,BASE INT BY PERIOD 27MONTH
CDVAL#8002391028,BASE INT BY PERIOD 28MONTH
CDVAL#8002391029,BASE INT BY PERIOD 29MONTH
CDVAL#8002391030,BASE INT BY PERIOD 30MONTH
CDVAL#8002391031,BASE INT BY PERIOD 31MONTH
CDVAL#8002391032,BASE INT BY PERIOD 32MONTH
CDVAL#8002391033,BASE INT BY PERIOD 33MONTH
CDVAL#8002391034,BASE INT BY PERIOD 34MONTH
CDVAL#8002391035,BASE INT BY PERIOD 35MONTH
CDVAL#8002391036,BASE INT BY PERIOD 36MONTH
CDVAL#8002391037,BASE INT BY PERIOD 37MONTH
CDVAL#8002391038,BASE INT BY PERIOD 38MONTH
CDVAL#8002391039,BASE INT BY PERIOD 39MONTH
CDVAL#8002391040,BASE INT BY PERIOD 40MONTH
CDVAL#8002391041,BASE INT BY PERIOD 41MONTH
CDVAL#8002391042,BASE INT BY PERIOD 42MONTH
CDVAL#8002391043,BASE INT BY PERIOD 43MONTH
CDVAL#8002391044,BASE INT BY PERIOD 44MONTH
CDVAL#8002391045,BASE INT BY PERIOD 45MONTH
CDVAL#8002391046,BASE INT BY PERIOD 46MONTH
CDVAL#8002391047,BASE INT BY PERIOD 47MONTH
CDVAL#8002391048,BASE INT BY PERIOD 48MONTH
CDVAL#8002391049,BASE INT BY PERIOD 49MONTH
CDVAL#8002391050,BASE INT BY PERIOD 50MONTH
CDVAL#8002391051,BASE INT BY PERIOD 51MONTH
CDVAL#8002391052,BASE INT BY PERIOD 52MONTH
CDVAL#8002391053,BASE INT BY PERIOD 53MONTH
CDVAL#8002391054,BASE INT BY PERIOD 54MONTH
CDVAL#8002391055,BASE INT BY PERIOD 55MONTH
CDVAL#8002391056,BASE INT BY PERIOD 56MONTH
CDVAL#8002391057,BASE INT BY PERIOD 57MONTH
CDVAL#8002391058,BASE INT BY PERIOD 58MONTH
CDVAL#8002391059,BASE INT BY PERIOD 59MONTH
CDVAL#8002391060,BASE INT BY PERIOD 60MONTH
CDVAL#8002401,Transaction Time
CDVAL#8002402,Opening Arrangement Time
CDVAL#8002403,Renewal Time
CDVAL#8002404,Maturity Time
CDVAL#8002405,Closing Time
CDVAL#8002501,Fixed
CDVAL#8002502,Variable
CDVAL#8002601,Opeing Account Date
CDVAL#8002602,Maturity Date
CDVAL#8002701,Rate
CDVAL#8002702,Amount
CDVAL#8002801,Percent
CDVAL#8002802,Permillage
CDVAL#8002901,Per Sheet
CDVAL#8002902,Per Transaction
CDVAL#8002903,Per Account
CDVAL#8002904,Per Hour
CDVAL#8002905,Per Day
CDVAL#8002906,Per Month
CDVAL#8002907,Per Year
CDVAL#8003001,Pay Immediately
CDVAL#8003002,Pay In Advance
CDVAL#8003003,Pay Deferred
CDVAL#8003101,Immediately
CDVAL#8003102,By Weekly
CDVAL#8003103,By Monthly
CDVAL#8003104,By Yearly
CDVAL#8003201,Opening Account Date
CDVAL#8003202,Maturity Date
CDVAL#8003203,Transaction Date
CDVAL#8003204,Expired date
CDVAL#8003301,Tx
CDVAL#8003302,New
CDVAL#8003303,Redeposit
CDVAL#8003304,Expire
CDVAL#8003305,Close
CDVAL#999A013001,Seoul
CDVAL#999A013002,Incheon
CDVAL#999A013003,Daejeon
CDVAL#999A013004,Daegu
CDVAL#999A013005,Ulsan
CDVAL#999A013006,Busan
CDVAL#999A013007,Kwangju
CDVAL#999A013011,Kyungki
CDVAL#999A013012,Kangwon
CDVAL#999A013013,Chungbook
CDVAL#999A013014,Chungnam
CDVAL#999A013015,Jeonbuk
CDVAL#999A013016,Jeonnam
CDVAL#999A013017,Kyungbook
CDVAL#999A013018,Kyungnam
CDVAL#999A013019,Jeju
CDVAL#999A13980,Land
CDVAL#999A13981,Mountain
CDVAL#999A13990,Not Set
CDVAL#999A13991,Set
CDVAL#999A14000,Eup Myon
CDVAL#999A14001,Dong
CDVAL#999A14002,Not Set
CDVAL#999A14010,Not Joint House
CDVAL#999A14011,Joint House
CDVAL#999A14020,Ground
CDVAL#999A14021,Underground
CDVAL#999A14022,Sky
CDVAL#999A140331,New
CDVAL#999A140334,Change
CDVAL#999A140363,Stoppage
CDVAL#999A140372,Stoppage (Part)
CDVAL#999A140373,New (Part)
CDVAL#A00011,sale arrangement
CDVAL#A0002A,Actvie
CDVAL#A0002C,Cancel
CDVAL#A0002T,Terminated
CDVAL#A0003A01,Opened Normally
CDVAL#A0003C01,Cancelled
CDVAL#A0003T01,Terminated Normally
CDVAL#A00041,Registration
CDVAL#A00042,Change
CDVAL#A00043,Close
CDVAL#A00044,Discard
CDVAL#A0004C,Cancel
CDVAL#A0004T,Terminate arrangement
CDVAL#A00051,Registration
CDVAL#A00052,Change
CDVAL#A00053,Close
CDVAL#A00054,Ignore
CDVAL#A00055,Owner Change
CDVAL#A00056,Inheritance
CDVAL#A00057,Customer Integration
CDVAL#A0005C,Cancel Transaction
CDVAL#A0005I,Customer Integration
CDVAL#A0005T,Account Termination
CDVAL#A00081,Multi Result
CDVAL#A00082,Single Result
CDVAL#A0009AP,Application Server
CDVAL#A0009UI,User Interface(Screen)
CDVAL#A00102,Active
CDVAL#A00103,Termination
CDVAL#A00105,Suspended
CDVAL#A0012ACB,Account Base Component
CDVAL#A0012ARB,Arrangement Base Component
CDVAL#A0012ASB,Asset Base Component
CDVAL#A0012ATB,Actor Base Component
CDVAL#A0012CIB,Credit Information Base
CDVAL#A0012CMB,Application Common Base Component
CDVAL#A0012DCB,Document Base Component
CDVAL#A0012LCB,Loan Credit Base
CDVAL#A0012PDB,Product Base Component
CDVAL#A0012SMB,System Common Base Component
CDVAL#A0012STB,Settlement Base Component
CDVAL#A0012SVB,Service Management Base Component
CDVAL#A0012WFB,Workflow Base Component
CDVAL#A00141,Paper Money
CDVAL#A00142,Coin
CDVAL#A00151,Before Closing
CDVAL#A00152,After Closing
CDVAL#A00161,Cash
CDVAL#A00162,Other Office Cheque
CDVAL#A00163,Transfer
CDVAL#A00171,Send
CDVAL#A00172,Receive
CDVAL#A00173,Forced Receive
CDVAL#A0019L,List Type Inspection
CDVAL#A0019R,Range Type Inspection
CDVAL#A002301,New
CDVAL#A002302,Change
CDVAL#A002303,Cancel
CDVAL#A0024N,Institution
CDVAL#A0024STDA,Standard
CDVAL#A002501,Employee Teller
CDVAL#A002502,Atm Teller
CDVAL#A002503,Cc Teller
CDVAL#A002601,Cash
CDVAL#A002602,Other Office Cheque
CDVAL#A002603,Transfer
CDVAL#A00271,Deposit
CDVAL#A00272,Withdrawal
CDVAL#A00273,Money Send
CDVAL#A00274,Money Receive
CDVAL#A00281,Before Closing
CDVAL#A00282,Closed
CDVAL#A00291,Before Closing
CDVAL#A00292,Closed
CDVAL#A003101,Condition Action
CDVAL#A003102,Condition Value Change and Action
CDVAL#A003103,Fee Charge Condition
CDVAL#A0035AR_ACCT_NBRG,Account Numbering Class
CDVAL#A0035AR_ARR_CND,Arrangement Condition Class
CDVAL#A0035AR_EXTRNL_ID_NBRG,External Id Numbering Class
CDVAL#A0035AR_PSBK_MSG_EDTR,Passbook Message Editor Class
CDVAL#A0035AR_PSBK_MSG_VLDTR,Passbook Booking Yn Class
CDVAL#A0035AR_PSWD_VLDTR,Account Password Validation Class
CDVAL#A0035AR_SRVC_VLDTR,Service Validation Rule Class
CDVAL#A0035AR_XTN_ATRBT,Arrangement Extend Attribute Class
CDVAL#A0035AT_MBRSHP_CRTN,Membership Arrangement Automatic Creation Class
CDVAL#A0035BO,Business Object
CDVAL#A0035CM_ATRBT_VLDTR_COMPLEX,Attribute Complex Validation Class
CDVAL#A0035CM_ATRBT_VLDTR_SIMPLE,Attribute Simple Validation Class
CDVAL#A0035CM_NBRG,Numbering Class
CDVAL#A0035CM_XTN_CODE,Code Class
CDVAL#A0035CONSTANT,Constant
CDVAL#A0035CORE_BO,Core Business Object
CDVAL#A0035DTO,Data Transfer Object
CDVAL#A0035ENUM,Enumeration
CDVAL#A0035ITEM_PROCESSOR,Item Processor
CDVAL#A0035ITEM_READER,Item Reader
CDVAL#A0035ITEM_WRITER,Item Writer
CDVAL#A0035MNGR,Manager
CDVAL#A0035SERVICE,Service
CDVAL#A0035ST_BAL_UPD,Balance Update Class
CDVAL#A0035ST_BAL_UPD_DCSN,Balance Update Decision Class
CDVAL#A0035ST_TAX_CLCLTR,Tax Calculator Class
CDVAL#A0035VO,Value Object
CDVAL#A00365001,Charge
CDVAL#A00365002,Withdrawal
CDVAL#A00365003,MMF subscription
CDVAL#A00365004,MMF redemption
CDVAL#A00365005,ADD deposit
CDVAL#A00365006,ADD Withdraw
CDVAL#A00365007,WMP subscription
CDVAL#A00365008,WMP withdraw
CDVAL#A00365009,WMP maturity
CDVAL#A00365010,Loan deposit
CDVAL#A00365011,Loan repayment
CDVAL#A00365012,Payment
CDVAL#A00381,Closing Registration
CDVAL#A00382,Closing Revocation
CDVAL#A00391,Department Unit Inquiry
CDVAL#A00392,Teller Unit Inquiry
CDVAL#A0041B,Abandon
CDVAL#A0041L,Application
CDVAL#A0041M,Modify
CDVAL#A0044A01,Staff Request
CDVAL#A0044A02,Retire
CDVAL#A0044A03,Movement Of Department
CDVAL#A0044A04,Long Term Inactive
CDVAL#A004501,Paper Print Out
CDVAL#A004502,Html
CDVAL#A004503,Pdf
CDVAL#A004504,Doc
CDVAL#A004505,Report
CDVAL#A0046CD,Card
CDVAL#A0046OT,Otp
CDVAL#A0046PB,Passbook
CDVAL#A0047CD,Card
CDVAL#A0047ED,Electronic Document Received
CDVAL#A0047FM,Fm
CDVAL#A0047NO,Notice Message
CDVAL#A0047PA,Paper/Image Received
CDVAL#A0047PB,Passbook
CDVAL#A0047RC,Receipt
CDVAL#A0047SC,Scraping Document
CDVAL#A0047SD,Storage Document
CDVAL#A0047SP,Slip
CDVAL#A0047SS,Stylesheet for printing
CDVAL#A0047TD,TSA Document
CDVAL#A004801,Normal
CDVAL#A004802,Closed
CDVAL#A004899,Delete
CDVAL#A004901,Active
CDVAL#A004902,Closed
CDVAL#A004903,Attached
CDVAL#A004904,Denied
CDVAL#A0050ARR,Arrangement Object
CDVAL#A0050ARR_CND,Arrangement Condition Object
CDVAL#A0050ARR_XTN_ATRBT,Arrangement Extension Attribute Object
CDVAL#A0050CMN_SYS_HDR,Common System Header Object
CDVAL#A0050CUST,Customer Object
CDVAL#A0050DEPT,Department Object
CDVAL#A0050INST_PARAMETER,Institution Parameter Object
CDVAL#A0050INST_PARMETER,Institution Parameter Object
CDVAL#A0050STAFF,Staff Object
CDVAL#A0050TX_CMN,Transaction Common Object
CDVAL#A005102,Owner Department
CDVAL#A005200,Application
CDVAL#A005201,Active
CDVAL#A005202,Close
CDVAL#A00531,Registration
CDVAL#A00532,Change
CDVAL#A00533,Close
CDVAL#A00534,Cancel Registration
CDVAL#A00535,Cancel Change
CDVAL#A00536,Cancel Close
CDVAL#A005401,Request
CDVAL#A005402,Active
CDVAL#A005403,Close
CDVAL#A00551,Normal
CDVAL#A00552,Cancel
CDVAL#A00553,Correct
CDVAL#A00554,Correct Cancel
CDVAL#A0056CM_ATRBT_VLDTR_COMPLEX,Complex Dto Validation
CDVAL#A0056CM_ATRBT_VLDTR_SIMPLE,Simple Dto Validation
CDVAL#A0058P,Positive
CDVAL#A006201,Standard Code
CDVAL#A006204,Standard Subset Code
CDVAL#A006303,External Code
CDVAL#A006501,A- ~ AAA(more than 75point)
CDVAL#A006502,BBB+(more than 70point)
CDVAL#A006503,BB+ ~BBB-(more than 60point)
CDVAL#A006504,B+ ~BB-(more than 50point)
CDVAL#A006505,B-(more than 45point)
CDVAL#A006506,CCC(more than 40point)
CDVAL#A006507,D ~ CC(less than 40point)
CDVAL#A006800001,Individual Customer Sms Self Authorization
CDVAL#A006800002,Loan Aggreement New Notice
CDVAL#A006800003,Sms Self Authentication
CDVAL#A006800004,E-mail Self Authentication
CDVAL#A006800005,Customer E-mail Self Authentication
CDVAL#A006800007,IndvStaffSMSSelfAuth
CDVAL#A006800011,A006800011
CDVAL#A006800013,test12
CDVAL#A006800014,test14
CDVAL#A006800015,test15
CDVAL#A006800016,test16
CDVAL#A00682016083101,test16
CDVAL#A006820160831T0,test16
CDVAL#A006820160831T01:14:47.,test16
CDVAL#A006820160831T01:15:03.,test16
CDVAL#A006820160831T03:49:13.,test16
CDVAL#A006820160831T04:02:48.,test16
CDVAL#A006820160831T04:07:39.,test16
CDVAL#A006820160831T04:11:06.,test16
CDVAL#A006820160831T05:18:19.,test16
CDVAL#A006820160831T07:06:03.,test16
CDVAL#A006820160831T07:22:04.,test16
CDVAL#A006820160831T07:31:26.,test16
CDVAL#A006820160831T08:38:39.,test16
CDVAL#A006820160831T18:55:57.,test16
CDVAL#A006820160901T18:55:57.,test16
CDVAL#A006820160904T18:56:03.,test16
CDVAL#A006820160905T01:41:22.,test16
CDVAL#A006820160905T01:51:09.,test16
CDVAL#A006820160907T01:37:37.,test16
CDVAL#A006820160907T03:38:02.,test16
CDVAL#A006820160907T03:43:59.,test16
CDVAL#A006820160907T03:49:44.,test16
CDVAL#A006820160907T05:35:42.,test16
CDVAL#A006820160907T06:20:09.,test16
CDVAL#A006820160907T18:56:32.,test16
CDVAL#A006820160908T06:43:12.,test16
CDVAL#A006820160908T08:39:38.,test16
CDVAL#A006820160908T18:56:06.,test16
CDVAL#A006820160909T09:01:00.,test16
CDVAL#A006820160910T18:55:54.,test16
CDVAL#A006820160912T01:20:18.,test16
CDVAL#A006820160912T01:46:12.,test16
CDVAL#A006820160912T08:15:58.,test16
CDVAL#A006820160913T02:00:03.,test16
CDVAL#A006820160913T02:00:48.,test16
CDVAL#A006820160913T02:04:29.,test16
CDVAL#A006820160913T03:30:07.,test16
CDVAL#A006820160913T04:17:59.,test16
CDVAL#A006820160913T04:43:18.,test16
CDVAL#A006820160913T18:55:47.,test16
CDVAL#A006820160914T18:55:43.,test16
CDVAL#A006820160915T18:56:03.,test16
CDVAL#A006820160916T18:55:43.,test16
CDVAL#A006820160917T18:55:50.,test16
CDVAL#A006820160918T18:55:50.,test16
CDVAL#A006820160919T00:41:59.,test16
CDVAL#A006820160919T07:25:39.,test16
CDVAL#A006820160919T07:31:10.,test16
CDVAL#A006820160919T07:34:51.,test16
CDVAL#A006820160919T07:40:43.,test16
CDVAL#A006820160919T07:57:10.,test16
CDVAL#A006820160919T08:10:24.,test16
CDVAL#A006820160919T18:55:38.,test16
CDVAL#A006820160920T18:55:49.,test16
CDVAL#A006820160921T01:48:50.,test16
CDVAL#A006820160921T05:43:41.,test16
CDVAL#A006820160921T05:57:47.,test16
CDVAL#A006820160921T06:02:31.,test16
CDVAL#A006820160921T06:28:20.,test16
CDVAL#A006820160921T18:55:51.,test16
CDVAL#A006820160922T07:58:54.,test16
CDVAL#A006820160922T08:10:33.,test16
CDVAL#A006820160922T18:55:48.,test16
CDVAL#A006820160923T18:55:51.,test16
CDVAL#A006820160924T18:56:02.,test16
CDVAL#A006820160925T18:56:02.,test16
CDVAL#A006820160926T08:21:23.,test16
CDVAL#A006820160926T18:53:31.,test16
CDVAL#A006820160927T03:36:07.,test16
CDVAL#A006820160927T03:41:53.,test16
CDVAL#A006820160927T18:56:02.,test16
CDVAL#A006820160928T18:56:10.,test16
CDVAL#A006820160929T00:40:35.,test16
CDVAL#A006820160929T00:54:59.,test16
CDVAL#A006820160929T01:08:05.,test16
CDVAL#A006820160929T18:56:40.,test16
CDVAL#A006820160930T01:12:03.,test16
CDVAL#A006820160930T18:56:31.,test16
CDVAL#A006820161001T18:56:32.,test16
CDVAL#A006820161002T18:56:31.,test16
CDVAL#A006820161003T18:56:39.,test16
CDVAL#A006820161004T18:56:48.,test16
CDVAL#A006820161005T06:51:54.,test16
CDVAL#A006820161005T18:56:35.,test16
CDVAL#A006820161006T18:56:43.,test16
CDVAL#A006820161007T18:56:35.,test16
CDVAL#A006820161008T18:56:40.,test16
CDVAL#A006820161009T18:56:47.,test16
CDVAL#A006820161010T00:36:47.,test16
CDVAL#A006820161010T01:41:21.,test16
CDVAL#A006820161010T08:21:24.,test16
CDVAL#A006820161010T18:56:41.,test16
CDVAL#A006820161011T18:57:29.,test16
CDVAL#A006820161012T18:56:59.,test16
CDVAL#A006820161013T18:56:50.,test16
CDVAL#A006820161014T18:56:57.,test16
CDVAL#A006820161015T18:56:56.,test16
CDVAL#A006820161016T18:56:57.,test16
CDVAL#A006820161017T18:57:31.,test16
CDVAL#A006820161018T18:57:05.,test16
CDVAL#A006820161020T01:24:51.,test16
CDVAL#A006820161020T05:15:28.,test16
CDVAL#A006820161020T05:44:34.,test16
CDVAL#A006820161020T18:57:13.,test16
CDVAL#A006820161021T18:57:34.,test16
CDVAL#A006820161022T18:57:08.,test16
CDVAL#A006820161023T18:56:57.,test16
CDVAL#A006820161024T00:44:35.,test16
CDVAL#A006820161024T00:52:45.,test16
CDVAL#A006820161024T18:57:19.,test16
CDVAL#A006820161025T18:57:19.,test16
CDVAL#A006820161026T18:57:16.,test16
CDVAL#A006820161027T03:19:07.,test16
CDVAL#A006820161027T03:32:30.,test16
CDVAL#A006820161027T03:38:24.,test16
CDVAL#A006820161027T03:43:46.,test16
CDVAL#A006820161027T03:52:47.,test16
CDVAL#A006820161027T04:09:43.,test16
CDVAL#A006820161027T05:18:14.,test16
CDVAL#A006820161027T05:26:08.,test16
CDVAL#A006820161027T10:36:57.,test16
CDVAL#A006820161027T18:57:13.,test16
CDVAL#A006820161028T18:57:09.,test16
CDVAL#A006820161029T18:57:24.,test16
CDVAL#A006820161030T18:57:30.,test16
CDVAL#A006820161031T08:20:35.,test16
CDVAL#A006820161031T18:57:42.,test16
CDVAL#A006820161101T00:56:32.,test16
CDVAL#A006820161101T01:09:11.,test16
CDVAL#A006820161101T02:05:31.,test16
CDVAL#A006820161101T02:17:38.,test16
CDVAL#A006820161101T07:39:38.,test16
CDVAL#A006820161101T07:45:18.,test16
CDVAL#A006820161101T10:48:47.,test16
CDVAL#A006820161101T10:53:32.,test16
CDVAL#A006820161101T11:08:37.,test16
CDVAL#A006820161101T11:15:06.,test16
CDVAL#A006820161101T11:21:10.,test16
CDVAL#A006820161101T11:23:52.,test16
CDVAL#A006820161101T18:57:09.,test16
